image_id,sample_id,svs_path
2607897,P-0052241-T01-IM6,s3://mskmind-bkt/reef-slides/2607897.svs
2688777,P-0052241-T02-IM6,s3://mskmind-bkt/reef-slides/2688777.svs
2527788,P-0052243-T01-IM6,s3://mskmind-bkt/reef-slides/2527788.svs
2523964,P-0052245-T01-IM6,s3://mskmind-bkt/reef-slides/2523964.svs
2540972,P-0052246-T01-IM6,s3://mskmind-bkt/reef-slides/2540972.svs
2372580,P-0052247-T01-IM6,s3://mskmind-bkt/reef-slides/2372580.svs
2527766,P-0052249-T01-IM6,s3://mskmind-bkt/reef-slides/2527766.svs
2607826,P-0052257-T01-IM6,s3://mskmind-bkt/reef-slides/2607826.svs
2465886,P-0052258-T01-IM6,s3://mskmind-bkt/reef-slides/2465886.svs
2569255,P-0052258-T02-IM6,s3://mskmind-bkt/reef-slides/2569255.svs
5252792,P-0052258-T03-IM7,s3://mskmind-bkt/reef-slides/5252792.svs
2632287,P-0052260-T01-IM6,s3://mskmind-bkt/reef-slides/2632287.svs
2457051,P-0052262-T01-IM6,s3://mskmind-bkt/reef-slides/2457051.svs
2473453,P-0052263-T01-IM6,s3://mskmind-bkt/reef-slides/2473453.svs
2602351,P-0052263-T02-IM6,s3://mskmind-bkt/reef-slides/2602351.svs
2527794,P-0052264-T01-IM6,s3://mskmind-bkt/reef-slides/2527794.svs
2597202,P-0052267-T01-IM6,s3://mskmind-bkt/reef-slides/2597202.svs
2597126,P-0052268-T01-IM6,s3://mskmind-bkt/reef-slides/2597126.svs
2603220,P-0052272-T01-IM6,s3://mskmind-bkt/reef-slides/2603220.svs
2374432,P-0052278-T01-IM6,s3://mskmind-bkt/reef-slides/2374432.svs
2496140,P-0052279-T01-IM6,s3://mskmind-bkt/reef-slides/2496140.svs
2051644,P-0052281-T01-IM6,s3://mskmind-bkt/reef-slides/2051644.svs
2971951,P-0052282-T01-IM6,s3://mskmind-bkt/reef-slides/2971951.svs
2538287,P-0052283-T01-IM6,s3://mskmind-bkt/reef-slides/2538287.svs
2527846,P-0052284-T01-IM6,s3://mskmind-bkt/reef-slides/2527846.svs
2578426,P-0052286-T01-IM6,s3://mskmind-bkt/reef-slides/2578426.svs
2473293,P-0052288-T01-IM6,s3://mskmind-bkt/reef-slides/2473293.svs
2072930,P-0052289-T01-IM6,s3://mskmind-bkt/reef-slides/2072930.svs
4663463,P-0052289-T04-IM7,s3://mskmind-bkt/reef-slides/4663463.svs
2465645,P-0052290-T01-IM6,s3://mskmind-bkt/reef-slides/2465645.svs
2700046,P-0052290-T02-IM6,s3://mskmind-bkt/reef-slides/2700046.svs
1782612,P-0052291-T01-IM6,s3://mskmind-bkt/reef-slides/1782612.svs
2719465,P-0052291-T02-IM6,s3://mskmind-bkt/reef-slides/2719465.svs
5482639,P-0052293-T02-IM7,s3://mskmind-bkt/reef-slides/5482639.svs
5949597,P-0052293-T03-IM7,s3://mskmind-bkt/reef-slides/5949597.svs
2553154,P-0052296-T02-IM6,s3://mskmind-bkt/reef-slides/2553154.svs
2583313,P-0052297-T02-IM6,s3://mskmind-bkt/reef-slides/2583313.svs
3015808,P-0052299-T04-IM6,s3://mskmind-bkt/reef-slides/3015808.svs
3147424,P-0052300-T02-IM6,s3://mskmind-bkt/reef-slides/3147424.svs
2856959,P-0052304-T02-IM6,s3://mskmind-bkt/reef-slides/2856959.svs
2700910,P-0052307-T02-IM6,s3://mskmind-bkt/reef-slides/2700910.svs
2587711,P-0052309-T02-IM6,s3://mskmind-bkt/reef-slides/2587711.svs
2530242,P-0052310-T02-IM6,s3://mskmind-bkt/reef-slides/2530242.svs
6581736,P-0052310-T10-IM7,s3://mskmind-bkt/reef-slides/6581736.svs
4244403,P-0052316-T02-IM7,s3://mskmind-bkt/reef-slides/4244403.svs
4295477,P-0052316-T03-IM7,s3://mskmind-bkt/reef-slides/4295477.svs
2602559,P-0052320-T01-IM6,s3://mskmind-bkt/reef-slides/2602559.svs
2438014,P-0052321-T01-IM6,s3://mskmind-bkt/reef-slides/2438014.svs
2307657,P-0052323-T01-IM6,s3://mskmind-bkt/reef-slides/2307657.svs
2523931,P-0052324-T01-IM6,s3://mskmind-bkt/reef-slides/2523931.svs
2538101,P-0052325-T01-IM6,s3://mskmind-bkt/reef-slides/2538101.svs
2468479,P-0052326-T01-IM6,s3://mskmind-bkt/reef-slides/2468479.svs
2486025,P-0052327-T01-IM6,s3://mskmind-bkt/reef-slides/2486025.svs
2523527,P-0052331-T01-IM6,s3://mskmind-bkt/reef-slides/2523527.svs
4940296,P-0052334-T02-IM7,s3://mskmind-bkt/reef-slides/4940296.svs
2906477,P-0052339-T02-IM6,s3://mskmind-bkt/reef-slides/2906477.svs
3610852,P-0052341-T02-IM7,s3://mskmind-bkt/reef-slides/3610852.svs
2451116,P-0052343-T01-IM6,s3://mskmind-bkt/reef-slides/2451116.svs
2538075,P-0052344-T01-IM6,s3://mskmind-bkt/reef-slides/2538075.svs
2538347,P-0052345-T01-IM6,s3://mskmind-bkt/reef-slides/2538347.svs
2385920,P-0052346-T01-IM6,s3://mskmind-bkt/reef-slides/2385920.svs
2619926,P-0052348-T01-IM6,s3://mskmind-bkt/reef-slides/2619926.svs
2527447,P-0052349-T01-IM6,s3://mskmind-bkt/reef-slides/2527447.svs
2329545,P-0052352-T01-IM6,s3://mskmind-bkt/reef-slides/2329545.svs
2715170,P-0052352-T02-IM6,s3://mskmind-bkt/reef-slides/2715170.svs
2373923,P-0052354-T01-IM6,s3://mskmind-bkt/reef-slides/2373923.svs
2361266,P-0052355-T01-IM6,s3://mskmind-bkt/reef-slides/2361266.svs
2540003,P-0052356-T01-IM6,s3://mskmind-bkt/reef-slides/2540003.svs
2372804,P-0052357-T01-IM6,s3://mskmind-bkt/reef-slides/2372804.svs
2523753,P-0052361-T01-IM6,s3://mskmind-bkt/reef-slides/2523753.svs
2434376,P-0052362-T01-IM6,s3://mskmind-bkt/reef-slides/2434376.svs
2481726,P-0052363-T01-IM6,s3://mskmind-bkt/reef-slides/2481726.svs
3657526,P-0052363-T02-IM7,s3://mskmind-bkt/reef-slides/3657526.svs
2653658,P-0052366-T02-IM6,s3://mskmind-bkt/reef-slides/2653658.svs
2507261,P-0052374-T01-IM6,s3://mskmind-bkt/reef-slides/2507261.svs
2525839,P-0052375-T01-IM6,s3://mskmind-bkt/reef-slides/2525839.svs
2523723,P-0052379-T01-IM6,s3://mskmind-bkt/reef-slides/2523723.svs
2501430,P-0052381-T01-IM6,s3://mskmind-bkt/reef-slides/2501430.svs
2507522,P-0052382-T01-IM6,s3://mskmind-bkt/reef-slides/2507522.svs
2525784,P-0052383-T01-IM6,s3://mskmind-bkt/reef-slides/2525784.svs
2450123,P-0052384-T01-IM6,s3://mskmind-bkt/reef-slides/2450123.svs
2528218,P-0052389-T02-IM6,s3://mskmind-bkt/reef-slides/2528218.svs
2528036,P-0052394-T02-IM6,s3://mskmind-bkt/reef-slides/2528036.svs
7460742,P-0052405-T03-IM7,s3://mskmind-bkt/reef-slides/7460742.svs
2547298,P-0052408-T01-IM6,s3://mskmind-bkt/reef-slides/2547298.svs
2538014,P-0052412-T01-IM6,s3://mskmind-bkt/reef-slides/2538014.svs
2537808,P-0052415-T01-IM6,s3://mskmind-bkt/reef-slides/2537808.svs
2539794,P-0052418-T01-IM6,s3://mskmind-bkt/reef-slides/2539794.svs
2539770,P-0052420-T01-IM6,s3://mskmind-bkt/reef-slides/2539770.svs
2472822,P-0052423-T01-IM6,s3://mskmind-bkt/reef-slides/2472822.svs
2472525,P-0052425-T01-IM6,s3://mskmind-bkt/reef-slides/2472525.svs
3480480,P-0052425-T03-IM7,s3://mskmind-bkt/reef-slides/3480480.svs
2548021,P-0052426-T01-IM6,s3://mskmind-bkt/reef-slides/2548021.svs
2493367,P-0052427-T01-IM6,s3://mskmind-bkt/reef-slides/2493367.svs
2539812,P-0052428-T01-IM6,s3://mskmind-bkt/reef-slides/2539812.svs
2571304,P-0052429-T01-IM6,s3://mskmind-bkt/reef-slides/2571304.svs
2548217,P-0052430-T01-IM6,s3://mskmind-bkt/reef-slides/2548217.svs
3892083,P-0052439-T01-IM7,s3://mskmind-bkt/reef-slides/3892083.svs
4174979,P-0052439-T03-IM7,s3://mskmind-bkt/reef-slides/4174979.svs
